Post ID,Account Username,Type of Post,Date,Day of Week,Time of Day,Likes,Comments,Caption,Hashtags,Play Count,Follower Count,Engagement Score,Relative Engagement Score,Viewer Engagement Score
7410799760879242529,adidas,multi_photo,2024-09-04,Wednesday,14:48:08,2810571,76501,zip zip zip zip 👽 #alien #football #adidas ,"#alien, #football, #adidas",19286411,8511086,33.92131156940489,3048.74,14.97
7431101469853601057,adidas,video,2024-10-29,Tuesday,07:49:22,2237331,9341,on a mission 🥶🥶🥶  @Lamine Yamal #kopatrophy #bestyoungplayer #football #adidas ,"#kopatrophy, #bestyoungplayer, #football, #adidas",17437788,8658485,25.947634026044973,2332.09,12.88
7449098327905406241,adidas,video,2024-12-16,Monday,19:46:10,573807,1961,exams? check.✅ award? won.🌟 @Lamine Yamal  #football #golden #304 #adidas,"#football, #golden, #304, #adidas",3672520,8744555,6.584303032001057,591.78,15.68
7429781519675264289,adidas,video,2024-10-25,Friday,18:27:20,385801,3597,alright alright alright 🏈 @Amon-Ra @Garrett Wilson #romeodunze #davidnjoku  #youladiesalright #americanfootball #adidas,"#romeodunze, #davidnjoku, #youladiesalright, #americanfootball, #adidas",3396976,8658485,4.497299469826419,404.2,11.46
7416823665456581921,adidas,video,2024-09-20,Friday,20:23:52,345370,4823,that 1 of 1 custom gold adidas campus #adidas #roblox ,"#adidas, #roblox",3664532,8511087,4.114550820594362,369.8,9.56
7428228558012615968,adidas,multi_photo,2024-10-21,Monday,14:00:47,336852,1627,"name a better duo, I‘ll wait  #messi #badbunny #adidasgazelle #adidas ","#messi, #badbunny, #adidasgazelle, #adidas",1449476,8658485,3.9092173746330916,351.35,23.35
7419703323537722656,adidas,video,2024-09-28,Saturday,14:38:27,266753,783,Derrick Rose forever ♾️ 🌹 🏀 #basketball #nbaedits #drose #derrickrose #adidas ,"#basketball, #nbaedits, #drose, #derrickrose, #adidas",1119199,8511086,3.143382642356099,282.52,23.9
7433457826577632544,adidas,video,2024-11-04,Monday,16:13:03,117790,62463,"spectacular, give me 14 of them right now. 🫣😮‍💨  #judebellingham #halamadrid #football #adidas ","#judebellingham, #halamadrid, #football, #adidas",879806,8658485,2.0818076141495885,187.11,20.49
